"ID","A1B1","A2B1","A3B1","A4B1","A5B1","A6B1","A7B1","A8B1","A9B1","A10B1","A11B1","A12B1"
11,5.5204431476009,5.3781778527701,2.53725516607295,1.63017005756803,-2.76881670180041,4.62692363775753,-0.944106289982463,3.76713306832124,2.76876791696493,-2.34376518790685,0.37181849936028,1.85078350830839
12,0.418279782714887,3.15412943260187,2.59511011744585,-0.230083215660298,3.66451915636977,2.56130291153963,2.39225254804655,-0.549603083991924,0.710812449300139,3.35921337634213,6.15364348132302,3.12017218125927
14,0.744641430330937,3.19697244135419,3.21645666990807,2.10747796963024,1.29965858438291,5.81561937811381,4.31745627562359,-0.8092051062997,2.67060968800188,-2.59980977829917,5.97904821053387,1.15836116964373
16,0.301309896067016,1.14022333230979,4.8185675197807,4.31830431937988,3.95103212031994,3.40321476699365,2.0652996046864,0.797462545291551,0.561688069855046,0.923599448724637,1.15451255520951,4.93630665264293
17,4.58547925787333,3.63633069586351,6.02847699169905,2.22517611859402,-0.924525079176023,2.11377468316186,-1.36693532231267,3.36981298271432,2.57867847345652,-2.17299957520695,2.21540008734912,-0.479374442023414
18,-0.154377549518538,2.06012253515645,2.39629190999564,2.85643253905986,4.16782555472822,2.74027149522175,1.46868304145702,0.198603312120892,0.492549212488307,2.98812636289477,5.05686142672879,2.91555940651762
19,-1.79587089663758,3.33049956175476,3.54728802773156,3.22822631041477,3.09314003969741,4.49724737090577,0.829098002748961,-0.912936898577797,1.11422199238326,1.16615869626185,5.95899664788566,2.16819702062328
20,1.74959259979635,4.88572867093379,4.32241361417931,0.667574110345389,1.26487477318587,4.70613727250336,1.46895463914922,-0.430146001352215,1.71425824874479,-0.660242664454326,5.70477923549915,3.18715809471849
21,-2.27158516761431,1.84838999386845,1.22856229553881,2.03041578542227,2.81569501842008,5.04102156279027,2.95847692270887,-0.868549245085364,0.380276623471477,4.95600661666632,4.60380222973519,5.98730215932777
22,1.51871564057642,1.91558466656194,3.99122392362906,4.32965752395223,0.264117174279273,4.54554090111996,-0.979434026540788,1.25466641872677,1.24588160131141,1.54617961519276,5.30777676040351,3.37327566343895
23,-0.356918140956749,4.6650752549576,4.444448728644,3.30272907173221,0.226431912300063,2.70746173469111,1.33059715422437,2.9356301284562,2.67647074800795,-0.216609509200287,5.19374592477052,3.49820875143631
24,0.736829597834386,4.01363153747159,3.08059474490191,3.71991635437757,2.45446346773708,3.16249702650834,1.14335130796694,2.63117625079861,1.60883845863912,0.926100776319101,0.741213302657853,3.20138507988113
25,0.507897387938813,3.06917222961626,2.24792033195729,0.924423208009573,4.66997383063457,1.0447420819199,2.82689454165486,0.102872912613188,0.571677868088243,4.56074999664606,5.875902220232,3.95297747064788
26,1.92698342806697,4.11971220189071,4.20011375527888,3.07718962941126,-1.85281631236433,4.72130733820255,0.648970171759478,2.09356189866914,3.09016297381299,-2.03318487893645,4.46413720294505,-0.110703922729977
28,5.68610903455527,2.62267546548306,2.27284504514056,3.19597143372203,2.60843436598769,4.77188198772787,-1.64807232351269,-0.00366975687570221,0.247067780461229,2.61509081507457,3.45628394088591,0.859682655513861
