"questionnaire.id","resp.id","ques","alt","anchor_1","anchor_2","anchor_3","anchor_4","zemlja","dob","best_choice","worst_choice"
1,3,5,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,5,"pizze (sve vrste)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",1,0
1,3,5,"slane pogaèe s punjenjem (meso, povræe…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,6,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,1
1,3,6,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",1,0
1,3,6,"kruh (sve vrste) i pogaèe bez punjenja",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,6,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,7,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",1,0
1,3,7,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,7,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,7,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,1
1,3,8,"kruh (sve vrste) i pogaèe bez punjenja",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,8,"pizze (sve vrste)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,8,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",1,0
1,3,8,"slane kiflice i peciva s punjenjem (šunka, sir…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,1
1,3,9,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,9,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,1
1,3,9,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",1,0
1,3,9,"pizze (sve vrste)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,10,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,10,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,0
1,3,10,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",0,1
1,3,10,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,2,2,2,"Bosna i Hercegovina","20-50 godina",1,0
1,4,1,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",1,1,2,1,"Hrvatska","20-50 godina",1,0
1,4,1,"slane kiflice i peciva s punjenjem (šunka, sir…)",1,1,2,1,"Hrvatska","20-50 godina",0,1
1,4,1,"slane pogaèe s punjenjem (meso, povræe…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,1,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,2,"slane kiflice i peciva s punjenjem (šunka, sir…)",1,1,2,1,"Hrvatska","20-50 godina",0,1
1,4,2,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",1,1,2,1,"Hrvatska","20-50 godina",1,0
1,4,2,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,2,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,3,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",1,1,2,1,"Hrvatska","20-50 godina",0,1
1,4,3,"kruh (sve vrste) i pogaèe bez punjenja",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,3,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,3,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",1,1,2,1,"Hrvatska","20-50 godina",1,0
1,4,4,"slane pogaèe s punjenjem (meso, povræe…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,4,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",1,1,2,1,"Hrvatska","20-50 godina",0,1
1,4,4,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,4,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",1,1,2,1,"Hrvatska","20-50 godina",1,0
1,4,5,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,5,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,5,"pizze (sve vrste)",1,1,2,1,"Hrvatska","20-50 godina",0,1
1,4,5,"slane pogaèe s punjenjem (meso, povræe…)",1,1,2,1,"Hrvatska","20-50 godina",1,0
1,4,6,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",1,1,2,1,"Hrvatska","20-50 godina",0,1
1,4,6,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",1,1,2,1,"Hrvatska","20-50 godina",1,0
1,4,6,"kruh (sve vrste) i pogaèe bez punjenja",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,6,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,7,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",1,1,2,1,"Hrvatska","20-50 godina",1,0
1,4,7,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,7,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",1,1,2,1,"Hrvatska","20-50 godina",0,1
1,4,7,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,8,"kruh (sve vrste) i pogaèe bez punjenja",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,8,"pizze (sve vrste)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,8,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",1,1,2,1,"Hrvatska","20-50 godina",1,0
1,4,8,"slane kiflice i peciva s punjenjem (šunka, sir…)",1,1,2,1,"Hrvatska","20-50 godina",0,1
1,4,9,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,9,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,9,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",1,1,2,1,"Hrvatska","20-50 godina",1,0
1,4,9,"pizze (sve vrste)",1,1,2,1,"Hrvatska","20-50 godina",0,1
1,4,10,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",1,1,2,1,"Hrvatska","20-50 godina",0,1
1,4,10,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,10,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",1,1,2,1,"Hrvatska","20-50 godina",0,0
1,4,10,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",1,1,2,1,"Hrvatska","20-50 godina",1,0
1,5,1,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,2,2,2,"Hrvatska","20-50 godina",1,0
1,5,1,"slane kiflice i peciva s punjenjem (šunka, sir…)",2,2,2,2,"Hrvatska","20-50 godina",0,1
1,5,1,"slane pogaèe s punjenjem (meso, povræe…)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,1,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,2,"slane kiflice i peciva s punjenjem (šunka, sir…)",2,2,2,2,"Hrvatska","20-50 godina",0,1
1,5,2,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,2,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,2,2,2,"Hrvatska","20-50 godina",1,0
1,5,2,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,3,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",2,2,2,2,"Hrvatska","20-50 godina",1,0
1,5,3,"kruh (sve vrste) i pogaèe bez punjenja",2,2,2,2,"Hrvatska","20-50 godina",0,1
1,5,3,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,3,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,4,"slane pogaèe s punjenjem (meso, povræe…)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,4,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,4,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",2,2,2,2,"Hrvatska","20-50 godina",0,1
1,5,4,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",2,2,2,2,"Hrvatska","20-50 godina",1,0
1,5,5,"kolaèi s punjenjem (orahnjaèa, makovnjaèa, žarbo…)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,5,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",2,2,2,2,"Hrvatska","20-50 godina",0,1
1,5,5,"pizze (sve vrste)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,5,"slane pogaèe s punjenjem (meso, povræe…)",2,2,2,2,"Hrvatska","20-50 godina",1,0
1,5,6,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",2,2,2,2,"Hrvatska","20-50 godina",0,1
1,5,6,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,2,2,2,"Hrvatska","20-50 godina",1,0
1,5,6,"kruh (sve vrste) i pogaèe bez punjenja",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,6,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,7,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",2,2,2,2,"Hrvatska","20-50 godina",1,0
1,5,7,"slatke kiflice i peciva s punjenjem (pekmez, Nutella…)",2,2,2,2,"Hrvatska","20-50 godina",0,1
1,5,7,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,7,"mala peciva bez punjenja (kiflice, kajzerice, žemlje…)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,8,"kruh (sve vrste) i pogaèe bez punjenja",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,8,"pizze (sve vrste)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,8,"kolaèi s voæem (savijaèa s voæem, kuglof s voæem…)",2,2,2,2,"Hrvatska","20-50 godina",1,0
1,5,8,"slane kiflice i peciva s punjenjem (šunka, sir…)",2,2,2,2,"Hrvatska","20-50 godina",0,1
1,5,9,"lisnato dizano tijesto (salenjaci, kroasani, vijenci…)",2,2,2,2,"Hrvatska","20-50 godina",0,1
1,5,9,"lijepo motanje i preklapanje tijesta (pogaèe, pletenice, ružice…)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,9,"posebni blagdanski kolaèi (pinca, panettone, stollen…)",2,2,2,2,"Hrvatska","20-50 godina",1,0
1,5,9,"pizze (sve vrste)",2,2,2,2,"Hrvatska","20-50 godina",0,0
1,5,10,"krafne, fritule, slatki uštipci (slatko prženo dizano tijesto)",2,2,2,2,"Hrvatska","20-50 godina",1,0
